Airbnb Listing ID,price,latitude,longitude,Meters from chosen location,Location,cluster,centroids,price_currency,size,color,segment
34242752,3033.5400390625,52.354541778564446,4.992380142211913,6911.0,Airbnb listing,1,0,MX 3033.54,5.0,#024c6f,Mid-range
34265096,1516.77001953125,52.34687042236328,4.898739814758301,2183.0,Airbnb listing,1,0,MX 1516.77,5.0,#024c6f,Mid-range
34268932,4449.2001953125,52.365760803222656,4.93927001953125,3184.0,Airbnb listing,0,0,MX 4449.2,5.0,#061b2c,Budget
34270096,2629.070068359375,52.351688385009766,4.896880149841309,1633.0,Airbnb listing,1,0,MX 2629.07,5.0,#024c6f,Mid-range
34274076,4024.5,52.3560905456543,4.908720016479492,1572.0,Airbnb listing,0,0,MX 4024.5,5.0,#061b2c,Budget
34298332,4044.7299804687505,52.370399475097656,4.919549942016602,1905.0,Airbnb listing,0,0,MX 4044.73,5.0,#061b2c,Budget
34305128,4408.75,52.38222885131836,4.872250080108643,2254.0,Airbnb listing,0,0,MX 4408.75,5.0,#061b2c,Budget
34312840,1112.300048828125,52.34939956665039,4.815149784088135,5565.0,Airbnb listing,1,0,MX 1112.3,5.0,#024c6f,Mid-range
34349936,4408.75,52.37812042236328,4.886629104614258,1391.0,Airbnb listing,0,0,MX 4408.75,5.0,#061b2c,Budget
34349936,4631.2099609375,52.368629455566406,4.8813090324401855,802.0,Airbnb listing,0,0,MX 4631.21,5.0,#061b2c,Budget
34349940,4853.669921875,52.36885833740234,4.8804402351379395,867.0,Airbnb listing,0,0,MX 4853.67,5.0,#061b2c,Budget
34349952,4226.740234375,52.37812042236328,4.886629104614258,1391.0,Airbnb listing,0,0,MX 4226.74,5.0,#061b2c,Budget
34382716,1415.6500244140625,52.35868835449219,4.913340091705321,1645.0,Airbnb listing,1,0,MX 1415.65,5.0,#024c6f,Mid-range
34384920,5561.5,52.34381866455078,4.904029846191406,2602.0,Airbnb listing,0,0,MX 5561.5,6.0,#061b2c,Budget
34386176,3761.6000976562495,52.3674201965332,4.884620189666748,547.0,Airbnb listing,0,0,MX 3761.6,5.0,#061b2c,Budget
34392876,3640.25,52.355690002441406,4.9959001541137695,7124.0,Airbnb listing,0,0,MX 3640.25,5.0,#061b2c,Budget
34433256,1921.25,52.389930725097656,4.926159858703612,3503.0,Airbnb listing,1,0,MX 1921.25,5.0,#024c6f,Mid-range
34444408,1759.4599609375,52.32712173461913,4.976220130920409,7157.0,Airbnb listing,1,0,MX 1759.46,5.0,#024c6f,Mid-range
34463120,3235.780029296875,52.36896133422852,4.87602996826172,1155.0,Airbnb listing,1,0,MX 3235.78,5.0,#024c6f,Mid-range
34492672,3033.5400390625,52.36785888671875,4.861320018768311,2118.0,Airbnb listing,1,0,MX 3033.54,5.0,#024c6f,Mid-range
34496448,3033.5400390625,52.34959030151367,4.8918800354003915,1837.0,Airbnb listing,1,0,MX 3033.54,5.0,#024c6f,Mid-range
34505120,4044.7299804687505,52.41434860229492,4.890110015869141,5366.0,Airbnb listing,0,0,MX 4044.73,5.0,#061b2c,Budget
34505852,7037.81982421875,52.381290435791016,4.876110076904297,2017.0,Airbnb listing,3,0,MX 7037.82,6.0,#3abdf3,Elite
34539388,2123.47998046875,52.375579833984375,4.839069843292236,3770.0,Airbnb listing,1,0,MX 2123.48,5.0,#024c6f,Mid-range
34555440,4368.2998046875,52.37230682373047,4.881441116333008,1013.0,Airbnb listing,0,0,MX 4368.3,5.0,#061b2c,Budget
34558488,2851.530029296875,52.361209869384766,4.859489917755127,2299.0,Airbnb listing,1,0,MX 2851.53,5.0,#024c6f,Mid-range
34559988,3235.780029296875,52.35247039794922,4.855370044708252,2936.0,Airbnb listing,1,0,MX 3235.78,5.0,#024c6f,Mid-range
34561784,3154.889892578125,52.36363983154297,4.908140182495117,1104.0,Airbnb listing,1,0,MX 3154.89,5.0,#024c6f,Mid-range
